dataset,perturbation,target,rep,model,ndcg_score,cohen_kappa_score,r2_score,kendalltau,weightedtau,spearmanr,rbo
real_data5_testing,mean_variance_drift,Age_linear,0,LinearRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,Age_linear,0,RandomForestRegressor,0.9998865453300223,0.9090909090909091,0.9991933425598879,0.9928698752228164,0.9950687374124814,0.999083269671505,0.981438799033054
real_data5_testing,mean_variance_drift,Age_linear,1,LinearRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,Age_linear,1,RandomForestRegressor,0.9998998037585641,0.7878787878787878,0.9991554798552517,0.985739750445633,0.9935786748081799,0.998472116119175,0.9420574399633413
real_data5_testing,mean_variance_drift,Age_linear,2,LinearRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,Age_linear,2,RandomForestRegressor,0.999755374078516,0.6666666666666665,0.9992491780757199,0.9786096256684493,0.9875261676037294,0.9978609625668448,0.8450342970281967
real_data5_testing,mean_variance_drift,Age_linear,3,LinearRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,Age_linear,3,RandomForestRegressor,0.9996998482688667,0.6969696969696969,0.9994274116253746,0.9786096256684493,0.9863699948124518,0.9975553857906798,0.9374155595411893
real_data5_testing,mean_variance_drift,Age_linear,4,LinearRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,Age_linear,4,RandomForestRegressor,0.9994038486007719,0.6666666666666665,0.9988542546963813,0.9786096256684493,0.9799137916607211,0.9978609625668448,0.889444248137378
real_data5_testing,mean_variance_drift,erythema,0,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,0,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,1,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,1,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,2,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,2,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,3,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,3,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,4,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,erythema,4,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,0,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,0,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,1,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,1,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,2,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,2,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,3,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,3,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,4,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,scaling,4,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,definite_borders,0,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,definite_borders,0,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_data5_testing,mean_variance_drift,definite_borders,1,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
