ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
kendalltau,fidelity_accuracy_drop,-0.39590391049959023,1.4576918303411822e-120,-0.08786047370587517,6.430254205254202e-07,3200
kendalltau,utility_accuracy_drop,-0.3976515985161734,1.043994485823723e-121,-0.08240385429859406,3.0476162620994914e-06,3200
kendalltau,fidelity_balanced_accuracy_drop,-0.25958804030545884,1.9352966438762257e-50,-0.06508704615251151,0.0002292889831717019,3200
kendalltau,utility_balanced_accuracy_drop,-0.2771692267257134,1.5701741948626497e-57,-0.0820198478277169,3.3882769541738847e-06,3200
kendalltau,fidelity_rmse_ratio,-0.0026163256926188903,0.9249166196009851,0.26661963738389666,1.352575108936823e-22,1300
kendalltau,utility_rmse_ratio,0.11319338736356753,4.304956257316857e-05,0.17744242581702727,1.1727795505820965e-10,1300
weightedtau,fidelity_accuracy_drop,-0.38464385554178215,2.3799301382701434e-113,-0.08299363165353152,2.5875575546392587e-06,3200
weightedtau,utility_accuracy_drop,-0.3860657388361956,3.0286335945237475e-114,-0.07614929404967116,1.616134632462484e-05,3200
weightedtau,fidelity_balanced_accuracy_drop,-0.2630079087253856,8.893191685573686e-52,-0.06042716907879278,0.0006260575228071373,3200
weightedtau,utility_balanced_accuracy_drop,-0.27726271730168683,1.4348632056921668e-57,-0.0769436168279964,1.316476905605502e-05,3200
weightedtau,fidelity_rmse_ratio,0.026061003364605463,0.3477829119812381,0.2712243875826685,2.351769447190586e-23,1300
weightedtau,utility_rmse_ratio,0.0935573693155578,0.0007316816039011183,0.17133001702237527,5.052155728999633e-10,1300
spearmanr,fidelity_accuracy_drop,-0.3885258979022145,8.349078805903591e-116,-0.08691519189517097,8.476464719635612e-07,3200
spearmanr,utility_accuracy_drop,-0.3892150506211106,3.0363595671326937e-116,-0.08207407055926137,3.338052518253666e-06,3200
spearmanr,fidelity_balanced_accuracy_drop,-0.27511672040719226,1.1254511794218973e-56,-0.06423508069367034,0.00027688226630181393,3200
spearmanr,utility_balanced_accuracy_drop,-0.2876687813286285,5.063236491274354e-62,-0.08191766705535805,3.4848984186734842e-06,3200
spearmanr,fidelity_rmse_ratio,-0.008003484518576801,0.7731195858710997,0.28369471754985337,1.7338503266892484e-25,1300
spearmanr,utility_rmse_ratio,0.08658827887514817,0.0017789456299897482,0.1911301072725206,3.68354095175503e-12,1300
rbo,fidelity_accuracy_drop,-0.31562179482502195,6.000983641588974e-75,-0.07907591753478634,7.5177922057985105e-06,3200
rbo,utility_accuracy_drop,-0.3182686365792773,3.0155782900795156e-76,-0.0772729609318566,1.208465219926461e-05,3200
rbo,fidelity_balanced_accuracy_drop,-0.14932251894585025,2.0433311495451324e-17,-0.04178748313706608,0.018080471504390072,3200
rbo,utility_balanced_accuracy_drop,-0.17482652248853048,2.2209686560661417e-23,-0.06316260569698989,0.0003499727665713248,3200
rbo,fidelity_rmse_ratio,0.03771571567017944,0.17413554205742274,0.24202020690428874,8.779229056270632e-19,1300
rbo,utility_rmse_ratio,0.13186853483386182,1.8343926345177293e-06,0.16537575902846344,1.9937085037852985e-09,1300
ndcg_score,fidelity_accuracy_drop,-0.3643860155210138,4.5500650632283345e-101,-0.0860855418553562,1.0777356679513126e-06,3200
ndcg_score,utility_accuracy_drop,-0.364875626610228,2.3521415787413074e-101,-0.07712279712943851,1.2566205226334839e-05,3200
ndcg_score,fidelity_balanced_accuracy_drop,-0.2671788828181839,1.952202845524577e-53,-0.06271424591627843,0.0003855797042706058,3200
ndcg_score,utility_balanced_accuracy_drop,-0.27402126391788034,3.197785270159461e-56,-0.0765463887435142,1.4590152488004534e-05,3200
ndcg_score,fidelity_rmse_ratio,0.060580795601395156,0.02894926372237774,0.26549404765401935,2.0636540801987126e-22,1300
ndcg_score,utility_rmse_ratio,0.0714581371059615,0.009958225704018091,0.16107681887042344,5.210803851204805e-09,1300
